filename,duration,distance,average heart rate,average pace,starting time,rTSS,date
activity_10340246090.tcx,2675.0,9.1 km,147 bpm,0:04:54 mins/km,2023-01-19 14:29:34+00:00,49,2023-01-19
activity_10467966163.tcx,2701.0,9.08 km,154 bpm,0:04:58 mins/km,2023-02-08 06:50:04+00:00,48,2023-02-08
activity_9399926780.tcx,5219.0,12.72 km,149 bpm,0:06:50 mins/km,2022-08-14 07:40:30+01:00,50,2022-08-14
activity_11608264444.tcx,3582.0,12.3 km,155 bpm,0:04:51 mins/km,2023-07-21 07:23:59+01:00,66,2023-07-21
activity_10144940478.tcx,1085.0,3.51 km,165 bpm,0:05:09 mins/km,2022-12-17 09:26:47+08:00,18,2022-12-17
activity_10654145097.tcx,1776.0,5.4 km,162 bpm,0:05:29 mins/km,2023-03-08 12:16:13+00:00,26,2023-03-08
activity_13060803111.tcx,1982.0,6.05 km,140 bpm,0:05:28 mins/km,2023-12-11 12:05:09+00:00,29,2023-12-11
activity_12153245712.tcx,2050.0,6.76 km,148 bpm,0:05:03 mins/km,2023-10-02 12:06:46+01:00,35,2023-10-02
activity_10533630698.tcx,3693.0,11.53 km,144 bpm,0:05:20 mins/km,2023-02-18 08:52:47+00:00,56,2023-02-18
activity_10527361967.tcx,3516.0,12.23 km,157 bpm,0:04:48 mins/km,2023-02-17 07:07:19+00:00,67,2023-02-17
activity_11797380035.tcx,4707.0,15.15 km,147 bpm,0:05:11 mins/km,2023-08-15 18:13:55+01:00,91,2023-08-15
activity_9600251290.tcx,1073.0,3.47 km,144 bpm,0:05:09 mins/km,2022-09-13 18:11:52+01:00,18,2022-09-13
activity_9711879224.tcx,3853.0,12.0 km,157 bpm,0:05:21 mins/km,2022-10-02 08:36:07+08:00,59,2022-10-02
activity_12853629628.tcx,4002.0,13.69 km,161 bpm,0:04:52 mins/km,2023-11-24 07:07:58+00:00,73,2023-11-24
activity_11004982868.tcx,4807.0,17.72 km,155 bpm,0:04:31 mins/km,2023-04-29 08:16:18+01:00,103,2023-04-29
activity_9131794945.tcx,5296.0,17.03 km,153 bpm,0:05:11 mins/km,2022-07-03 09:51:06+01:00,86,2022-07-03
activity_10985689404.tcx,1821.0,5.84 km,153 bpm,0:05:12 mins/km,2023-04-26 12:16:43+01:00,29,2023-04-26
activity_12881159922.tcx,6549.0,22.63 km,160 bpm,0:04:49 mins/km,2023-11-26 11:00:27+00:00,123,2023-11-26
activity_10144939813.tcx,1226.0,3.85 km,145 bpm,0:05:18 mins/km,2022-12-17 08:02:19+08:00,19,2022-12-17
activity_10974260523.tcx,4273.0,14.2 km,152 bpm,0:05:01 mins/km,2023-04-24 18:02:56+01:00,82,2023-04-24
activity_10068343120.tcx,2726.0,8.65 km,152 bpm,0:05:15 mins/km,2022-12-02 06:16:34+13:00,43,2022-12-02
activity_9292941773.tcx,2319.0,5.59 km,122 bpm,0:06:55 mins/km,2022-07-28 18:41:11+01:00,33,2022-07-28
activity_10909364523.tcx,2049.0,8.49 km,169 bpm,0:04:01 mins/km,2023-04-15 13:31:07+01:00,55,2023-04-15
activity_11398151358.tcx,4383.0,13.8 km,146 bpm,0:05:18 mins/km,2023-06-22 06:58:55+01:00,68,2023-06-22
activity_8952879701.tcx,1575.0,5.49 km,156 bpm,0:04:47 mins/km,2022-06-04 16:04:54+01:00,30,2022-06-04
activity_11633251568.tcx,2200.0,7.24 km,146 bpm,0:05:04 mins/km,2023-07-24 17:17:10+01:00,37,2023-07-24
activity_13078812137.tcx,4175.0,14.15 km,154 bpm,0:04:55 mins/km,2023-12-12 18:12:06+00:00,81,2023-12-12
activity_12359032017.tcx,4435.0,13.97 km,148 bpm,0:05:17 mins/km,2023-10-17 18:12:07+01:00,79,2023-10-17
activity_10991412474.tcx,4765.0,15.06 km,163 bpm,0:05:16 mins/km,2023-04-27 06:54:31+01:00,75,2023-04-27
activity_12214127973.tcx,1107.0,3.29 km,150 bpm,0:05:36 mins/km,2023-10-07 15:27:44+01:00,15,2023-10-07
activity_11651851898.tcx,4537.0,14.45 km,152 bpm,0:05:14 mins/km,2023-07-27 06:53:29+01:00,72,2023-07-27
activity_9242035936.tcx,2825.0,8.89 km,141 bpm,0:05:18 mins/km,2022-07-20 18:29:19+01:00,44,2022-07-20
activity_10115454793.tcx,5588.0,18.43 km,155 bpm,0:05:03 mins/km,2022-12-11 07:52:05+13:00,95,2022-12-11
activity_10711440887.tcx,3761.0,12.03 km,156 bpm,0:05:13 mins/km,2023-03-17 07:32:28+00:00,60,2023-03-17
activity_11623210997.tcx,5481.0,18.52 km,148 bpm,0:04:56 mins/km,2023-07-23 09:08:45+01:00,98,2023-07-23
activity_8757479174.tcx,3660.0,11.84 km,154 bpm,0:05:09 mins/km,2022-05-04 08:18:59+01:00,60,2022-05-04
